index,movieId,title,genres,director,,,,,,,,,,,,,,,,,,,,,
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,James Cameron,,,,,,,,,,,,,,,,,,,,,
1,2,Jumanji (1995),Adventure|Children|Fantasy,Gore Verbinski,,,,,,,,,,,,,,,,,,,,,
3,3,Grumpier Old Men (1995),Comedy|Romance,Sam Mendes,,,,,,,,,,,,,,,,,,,,,
4,4,Waiting to Exhale (1995),Comedy|Drama|Romance,Christopher Nolan,,,,,,,,,,,,,,,,,,,,,
5,5,Father of the Bride Part II (1995),Comedy,Andrew Stanton,,,,,,,,,,,,,,,,,,,,,
6,6,Heat (1995),Action|Crime|Thriller,Sam Raimi,,,,,,,,,,,,,,,,,,,,,
7,7,Sabrina (1995),Comedy|Romance,Byron Howard,,,,,,,,,,,,,,,,,,,,,
8,8,Tom and Huck (1995),Adventure|Children,Joss Whedon,,,,,,,,,,,,,,,,,,,,,
9,9,Sudden Death (1995),Action,David Yates,,,,,,,,,,,,,,,,,,,,,
10,10,GoldenEye (1995),Action|Adventure|Thriller,Zack Snyder,,,,,,,,,,,,,,,,,,,,,
11,11,"American President, The (1995)",Comedy|Drama|Romance,Bryan Singer,,,,,,,,,,,,,,,,,,,,,
12,12,Dracula: Dead and Loving It (1995),Comedy|Horror,Marc Forster,,,,,,,,,,,,,,,,,,,,,
13,13,Balto (1995),Adventure|Animation|Children,Gore Verbinski,,,,,,,,,,,,,,,,,,,,,
14,14,Nixon (1995),Drama,Gore Verbinski,,,,,,,,,,,,,,,,,,,,,
15,15,Cutthroat Island (1995),Action|Adventure|Romance,Zack Snyder,,,,,,,,,,,,,,,,,,,,,
16,16,Casino (1995),Crime|Drama,Andrew Adamson,,,,,,,,,,,,,,,,,,,,,
17,17,Sense and Sensibility (1995),Drama|Romance,Joss Whedon,,,,,,,,,,,,,,,,,,,,,
18,18,Four Rooms (1995),Comedy,Rob Marshall,,,,,,,,,,,,,,,,,,,,,
19,19,Ace Ventura: When Nature Calls (1995),Comedy,Barry Sonnenfeld,,,,,,,,,,,,,,,,,,,,,
20,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Peter Jackson,,,,,,,,,,,,,,,,,,,,,
21,21,Get Shorty (1995),Comedy|Crime|Thriller,Marc Webb,,,,,,,,,,,,,,,,,,,,,
22,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Ridley Scott,,,,,,,,,,,,,,,,,,,,,
23,23,Assassins (1995),Action|Crime|Thriller,Peter Jackson,,,,,,,,,,,,,,,,,,,,,
24,24,Powder (1995),Drama|Sci-Fi,Chris Weitz,,,,,,,,,,,,,,,,,,,,,
25,25,Leaving Las Vegas (1995),Drama|Romance,Peter Jackson,,,,,,,,,,,,,,,,,,,,,
26,26,Othello (1995),Drama,James Cameron,,,,,,,,,,,,,,,,,,,,,
27,27,Now and Then (1995),Children|Drama,Anthony Russo,,,,,,,,,,,,,,,,,,,,,
28,28,Persuasion (1995),Drama|Romance,Peter Berg,,,,,,,,,,,,,,,,,,,,,
29,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Sam Mendes,,,,,,,,,,,,,,,,,,,,,
30,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Sam Raimi,,,,,,,,,,,,,,,,,,,,,
